company_id,img,model,src_link
3,https://ic1.maxabout.us/autos/tw_india/Accura_Active_Plus.jpg/thumb/120,Active,https://autos.maxabout.com/bikes/accura/active
3,https://ic1.maxabout.us/autos/tw_india/accura-27-genx.jpg/thumb/120,GenX,https://autos.maxabout.com/bikes/accura/genx
3,https://ic1.maxabout.us/autos/tw_india/Accura_Yadi.jpg/thumb/120,Yadi,https://autos.maxabout.com/bikes/accura/yadi
4,https://ic1.maxabout.us/autos/tw_india/aw-43-dirt-bike-125.jpg/thumb/120,Dirt Bike,https://autos.maxabout.com/bikes/adventure-wheels/dirt-bike
6,https://ic1.maxabout.us/autos/tw_india/hero-honda-2/achiever-22.jpg/thumb/120,Achiever,https://autos.maxabout.com/bikes/amez/achiever
6,https://ic1.maxabout.us/autos/tw_india/Kandaa_Lovely.jpg/thumb/120,Lovely,https://autos.maxabout.com/bikes/amez/lovely
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-aadi.jpg/thumb/120,Aadi,https://autos.maxabout.com/bikes/ampere/aadi
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-abhi.jpg/thumb/120,Abhi,https://autos.maxabout.com/bikes/ampere/abhi
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-adya.jpg/thumb/120,Adya,https://autos.maxabout.com/bikes/ampere/adya
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-arya.jpg/thumb/120,Arya,https://autos.maxabout.com/bikes/ampere/arya
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-asva.jpg/thumb/120,Asva,https://autos.maxabout.com/bikes/ampere/asva
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-bobo.jpg/thumb/120,Bobo,https://autos.maxabout.com/bikes/ampere/bobo
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-diti.jpg/thumb/120,Diti,https://autos.maxabout.com/bikes/ampere/diti
8,https://ic1.maxabout.us/autos/tw_india/ampere-62-v60.jpg/thumb/120,V60,https://autos.maxabout.com/bikes/ampere/v60
9,https://ic1.maxabout.us/autos/tw_india/aprilia-69/caponord-1200-12.jpg/thumb/120,Caponord,https://autos.maxabout.com/bikes/aprilia/caponord
9,https://ic1.maxabout.us/autos/tw_india/aprilia-69/dorsoduro-1200-abs.jpg/thumb/120,Dorsoduro,https://autos.maxabout.com/bikes/aprilia/dorsoduro
9,https://ic1.maxabout.us/autos/tw_india/aprilia-69/mana-850.jpg/thumb/120,Mana,https://autos.maxabout.com/bikes/aprilia/mana
9,https://ic1.maxabout.us/autos/tw_india//A/2020/12/aprillia-rs-660-india.jpg/thumb/120,RS,https://autos.maxabout.com/bikes/aprilia/rs
9,https://ic1.maxabout.us/autos/tw_india/aprilia-69/rsv4-factory.jpg/thumb/120,RSV4,https://autos.maxabout.com/bikes/aprilia/rsv4
9,https://ic1.maxabout.us/autos/tw_india/aprilia-69/shiver-750.jpg/thumb/120,Shiver,https://autos.maxabout.com/bikes/aprilia/shiver
9,https://ic1.maxabout.us/autos/tw_india//2/2020/6/2020-aprilia-sr-160.jpg/thumb/120,SR,https://autos.maxabout.com/bikes/aprilia/sr-motard
9,https://ic1.maxabout.us/autos/tw_india//B/2020/6/bs6-aprilia-storm-125.jpg/thumb/120,Storm,https://autos.maxabout.com/bikes/aprilia/storm
9,https://ic1.maxabout.us/autos/tw_india//2/2020/12/2021-aprilia-sxr-160.jpg/thumb/120,SXR,https://autos.maxabout.com/bikes/aprilia/sxr
9,https://ic1.maxabout.us/autos/tw_india//A/2021/2/aprilia-tuono-660-2.jpg/thumb/120,Tuono,https://autos.maxabout.com/bikes/aprilia/tuono
10,https://ic1.maxabout.us/autos/tw_india//A/2021/11/ather-450x.jpg/thumb/120,Electric Scooter,https://autos.maxabout.com/bikes/ather/electric-scooter
11,https://ic1.maxabout.us/autos/tw_india/Atlas_Angel.jpg/thumb/120,Angel,https://autos.maxabout.com/bikes/atlas/angel
11,https://ic1.maxabout.us/autos/tw_india/Atlas_Classic.jpg/thumb/120,Classic,https://autos.maxabout.com/bikes/atlas/classic
12,https://ic1.maxabout.us/autos/tw_india//A/2019/9/avan-xero.jpg/thumb/120,Electric Scooter,https://autos.maxabout.com/bikes/avan/electric-scooter
13,https://ic1.maxabout.us/autos/tw_india//A/2017/11/avantura-pravega-chopper.jpg/thumb/120,Chopper,https://autos.maxabout.com/bikes/avantura/chopper
14,https://ic1.maxabout.us/autos/tw_india/Avon_022_EB.jpg/thumb/120,e-Bike,https://autos.maxabout.com/bikes/avon/e-bike
14,https://ic1.maxabout.us/autos/tw_india/Avon_e_lite.jpg/thumb/120,e-Lite,https://autos.maxabout.com/bikes/avon/e-lite
14,https://ic1.maxabout.us/autos/tw_india/Avon_e_magic.jpg/thumb/120,e-Magic,https://autos.maxabout.com/bikes/avon/e-magic
14,https://ic1.maxabout.us/autos/tw_india/Avon_e_plus.jpg/thumb/120,e-Plus,https://autos.maxabout.com/bikes/avon/e-plus
14,https://ic1.maxabout.us/autos/tw_india/Avon_E_scoot.jpg/thumb/120,e-Scoot,https://autos.maxabout.com/bikes/avon/e-scoot
15,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-avenger-160-price-in-india.jpg/thumb/120,Avenger,https://autos.maxabout.com/bikes/bajaj/avenger
15,https://ic1.maxabout.us/autos/tw_india//N/2022/7/new-bajaj-chetak-premium-price-in-india.jpg/thumb/120,Chetak,https://autos.maxabout.com/bikes/bajaj/chetak
15,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-ct110x-price-in-india.jpg/thumb/120,CT,https://autos.maxabout.com/bikes/bajaj/ct100
15,https://ic1.maxabout.us/autos/tw_india//B/2021/6/bajaj-dominar-400-image.jpg/thumb/120,Dominar,https://autos.maxabout.com/bikes/bajaj/dominar
15,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-platina-110-es-disc-price-in-india.jpg/thumb/120,Platina,https://autos.maxabout.com/bikes/bajaj/platina
15,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-pulsar-ns125-price-in-india.jpg/thumb/120,Pulsar,https://autos.maxabout.com/bikes/bajaj/pulsar
16,https://ic1.maxabout.us/autos/tw_india//N/2021/11/new-battre-one.jpg/thumb/120,Electric Scooter,https://autos.maxabout.com/bikes/battre/electric-scooter
17,https://ic1.maxabout.us/autos/tw_india//N/2022/6/new-benelli-302r-price-in-india.jpg/thumb/120,300,https://autos.maxabout.com/bikes/benelli/tornado
17,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-imperiale-400-price-in-india.jpg/thumb/120,Imperiale,https://autos.maxabout.com/bikes/benelli/imperiale
17,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-leoncino-500-price-in-india.jpg/thumb/120,Leoncino,https://autos.maxabout.com/bikes/benelli/leoncino
17,https://ic1.maxabout.us/autos/tw_india//B/2017/10/benelli-tnt-25-bikes-maxabout.jpg/thumb/120,TNT,https://autos.maxabout.com/bikes/benelli/tnt
17,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-benelli-trk-502-price-in-india.jpg/thumb/120,TRK,https://autos.maxabout.com/bikes/benelli/trk
19,https://ic1.maxabout.us/autos/tw_india//B/2017/6/big-dog-k9-autos-maxabout.jpg/thumb/120,K9,https://autos.maxabout.com/bikes/big-dog/k9
21,https://ic1.maxabout.us/autos/tw_india//B/2020/5/bmw-f900r.jpg/thumb/120,F900,https://autos.maxabout.com/bikes/bmw/f900
21,https://ic1.maxabout.us/autos/tw_india//2/2022/7/2022-new-bmw-g310r-price-in-india.jpg/thumb/120,G310,https://autos.maxabout.com/bikes/bmw/g310
21,https://ic1.maxabout.us/autos/tw_india//B/2016/4/bmw-k1600gtl-p.jpg/thumb/120,K1600,https://autos.maxabout.com/bikes/bmw/k1600
21,https://ic1.maxabout.us/autos/tw_india//B/2021/3/bmw-m1000rr.jpg/thumb/120,M1000,https://autos.maxabout.com/bikes/bmw/m1000
21,https://ic1.maxabout.us/autos/tw_india//2/2021/3/2021-bmw-r-ninet.jpg/thumb/120,R,https://autos.maxabout.com/bikes/bmw/heritage
21,https://ic1.maxabout.us/autos/tw_india//B/2017/6/bmw-r1200r-autos-maxabout.jpg/thumb/120,R1200,https://autos.maxabout.com/bikes/bmw/r1200
21,https://ic1.maxabout.us/autos/tw_india//B/2020/5/bmw-r18.jpg/thumb/120,R18,https://autos.maxabout.com/bikes/bmw/r18
21,https://ic1.maxabout.us/autos/tw_india//B/2017/6/bmw-s1000r-autos-maxabout.jpg/thumb/120,S1000,https://autos.maxabout.com/bikes/bmw/s1000
21,https://ic1.maxabout.us/autos/tw_india//N/2021/10/new-bmw-c400-gt.jpg/thumb/120,Scooter,https://autos.maxabout.com/bikes/bmw/scooter
22,https://ic1.maxabout.us/autos/tw_india/bsa-42-diva.jpg/thumb/120,Diva,https://autos.maxabout.com/bikes/bsa/diva
22,https://ic1.maxabout.us/autos/tw_india/bsa-42-edge.jpg/thumb/120,Edge,https://autos.maxabout.com/bikes/bsa/edge
22,https://ic1.maxabout.us/autos/tw_india/bsa-42-roamer.jpg/thumb/120,Roamer,https://autos.maxabout.com/bikes/bsa/roamer
22,https://ic1.maxabout.us/autos/tw_india/bsa-42-smile.jpg/thumb/120,Smile,https://autos.maxabout.com/bikes/bsa/smile
22,https://ic1.maxabout.us/autos/tw_india/bsa-42-street-rider.jpg/thumb/120,Street Rider,https://autos.maxabout.com/bikes/bsa/street-rider
24,https://ic1.maxabout.us/autos/tw_india/cal-on-55-elan.jpg/thumb/120,Elan,https://autos.maxabout.com/bikes/cal-on/elan
24,https://ic1.maxabout.us/autos/tw_india/cal-on-55-elektra-25.jpg/thumb/120,Elektra,https://autos.maxabout.com/bikes/cal-on/elektra
25,https://ic1.maxabout.us/autos/tw_india//C/2017/10/carberry-double-barrel-1000.jpg/thumb/120,Double Barrel,https://autos.maxabout.com/bikes/carberry/double-barrel
26,https://ic1.maxabout.us/autos/tw_india//C/2019/4/cfmoto-650gt.jpg/thumb/120,GT,https://autos.maxabout.com/bikes/cfmoto/gt
26,https://ic1.maxabout.us/autos/tw_india//C/2019/3/cfmoto-650mt.jpg/thumb/120,MT,https://autos.maxabout.com/bikes/cfmoto/mt
26,https://ic1.maxabout.us/autos/tw_india//C/2019/4/cfmoto-300nk.jpg/thumb/120,NK,https://autos.maxabout.com/bikes/cfmoto/nk
27,https://ic1.maxabout.us/autos/tw_india/Cityebike_City_Ride.jpg/thumb/120,City Ride,https://autos.maxabout.com/bikes/citybyke/city-ride
29,https://ic1.maxabout.us/autos/tw_india/crazy-ebikes-52-crystal.jpg/thumb/120,Crystal,https://autos.maxabout.com/bikes/crazy-ecrystal
29,https://ic1.maxabout.us/autos/tw_india/crazy-ebikes-52-prism.jpg/thumb/120,Prism,https://autos.maxabout.com/bikes/crazy-eprism
31,https://ic1.maxabout.us/autos/tw_india/doon-46-zoom.jpg/thumb/120,Zoom,https://autos.maxabout.com/bikes/doon/zoom
32,https://ic1.maxabout.us/autos/tw_india//D/2018/11/ducati-diavel-1260.jpg/thumb/120,Diavel,https://autos.maxabout.com/bikes/ducati/diavel
32,https://ic1.maxabout.us/autos/tw_india//D/2015/11/ducati-hypermotard-939-p.jpg/thumb/120,Hypermotard,https://autos.maxabout.com/bikes/ducati/hypermotard
32,https://ic1.maxabout.us/autos/tw_india//D/2015/11/ducati-hyperstrada-939-p.jpg/thumb/120,Hyperstrada,https://autos.maxabout.com/bikes/ducati/hyperstrada
32,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-ducati-monster-950-price-in-india.jpg/thumb/120,Monster,https://autos.maxabout.com/bikes/ducati/monster
32,https://ic1.maxabout.us/autos/tw_india//D/2015/3/ducati-monster-795-p.jpg/thumb/120,Monster (2016),https://autos.maxabout.com/bikes/ducati/monster-2016
32,https://ic1.maxabout.us/autos/tw_india//D/2015/3/ducati-multistrada-1200-s-p.jpg/thumb/120,Multistrada,https://autos.maxabout.com/bikes/ducati/multistrada
32,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-ducati-panigale-v2-price-in-india.jpg/thumb/120,Panigale,https://autos.maxabout.com/bikes/ducati/panigale
32,https://ic1.maxabout.us/autos/tw_india//D/2017/2/ducati-scrambler-classic.jpg/thumb/120,Scrambler,https://autos.maxabout.com/bikes/ducati/scrambler
32,https://ic1.maxabout.us/autos/tw_india//D/2017/6/ducati-supersport-autos-maxabout.jpg/thumb/120,Superbike,https://autos.maxabout.com/bikes/ducati/superbike
32,https://ic1.maxabout.us/autos/tw_india//2/2021/1/2021-ducati-superleggera-v4.jpg/thumb/120,Superleggera,https://autos.maxabout.com/bikes/ducati/superleggera
32,https://ic1.maxabout.us/autos/tw_india//N/2022/8/new-ducati-panigale-v2-price-in-india.jpg/thumb/120,SuperSport,https://autos.maxabout.com/bikes/ducati/supersport
32,https://ic1.maxabout.us/autos/tw_india//D/2015/11/ducati-xdiavel-p2.jpg/thumb/120,XDiavel,https://autos.maxabout.com/bikes/ducati/xdiavel
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et100-4.jpg/thumb/120,ET100,https://autos.maxabout.com/bikes/eastman/et100
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et110.jpg/thumb/120,ET110,https://autos.maxabout.com/bikes/eastman/et110
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et125-a.jpg/thumb/120,ET125,https://autos.maxabout.com/bikes/eastman/et125
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et150t-19a.jpg/thumb/120,ET150,https://autos.maxabout.com/bikes/eastman/et150
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et200-3.jpg/thumb/120,ET200,https://autos.maxabout.com/bikes/eastman/et200
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et250.jpg/thumb/120,ET250,https://autos.maxabout.com/bikes/eastman/et250
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et50.jpg/thumb/120,ET50,https://autos.maxabout.com/bikes/eastman/et50
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et70.jpg/thumb/120,ET70,https://autos.maxabout.com/bikes/eastman/et70
33,https://ic1.maxabout.us/autos/tw_india/eastman-63-et90.jpg/thumb/120,ET90,https://autos.maxabout.com/bikes/eastman/et90
34,https://ic1.maxabout.us/autos/tw_india/ebike-64-brenda.jpg/thumb/120,Brenda,https://autos.maxabout.com/bikes/ebike/brenda
34,https://ic1.maxabout.us/autos/tw_india/ebike-64-linda.jpg/thumb/120,Linda,https://autos.maxabout.com/bikes/ebike/linda
34,https://ic1.maxabout.us/autos/tw_india/ebike-64-qq.jpg/thumb/120,QQ,https://autos.maxabout.com/bikes/ebike/qq
34,https://ic1.maxabout.us/autos/tw_india/ebike-64-work-horse.jpg/thumb/120,Work Horse,https://autos.maxabout.com/bikes/ebike/work-horse
35,https://ic1.maxabout.us/autos/tw_india//N/2021/11/new-eeve-xeniaa.jpg/thumb/120,Electric Scooter,https://autos.maxabout.com/bikes/eeve/electric-scooter
36,https://ic1.maxabout.us/autos/tw_india//E/2016/3/eider-650nk-p.jpg/thumb/120,650,https://autos.maxabout.com/bikes/eider/650
36,https://ic1.maxabout.us/autos/tw_india//E/2017/6/eider-dave-150-autos-maxabout.jpg/thumb/120,Dave,https://autos.maxabout.com/bikes/eider/dave
36,https://ic1.maxabout.us/autos/tw_india//E/2015/2/eider-dronzer-150-p.jpg/thumb/120,Dronzer,https://autos.maxabout.com/bikes/eider/dronzer
36,https://ic1.maxabout.us/autos/tw_india//E/2015/2/eider-etania-p.jpg/thumb/120,Etania,https://autos.maxabout.com/bikes/eider/etania
36,https://ic1.maxabout.us/autos/tw_india//E/2015/2/eider-leora-p.jpg/thumb/120,Leora,https://autos.maxabout.com/bikes/eider/leora
