link,title,logo_img,company_name,model_count,model_img,model_link,model_name,price_range
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2017/6/bmw-r1200r-autos-maxabout.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/r1200,BMW R1200,"₹ 15,05,000 - ₹ 18,35,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2020/5/bmw-r18.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/r18,BMW R18,"₹ 19,90,000 - ₹ 24,00,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//B/2017/6/bmw-s1000r-autos-maxabout.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/s1000,BMW S1000,"₹ 18,30,000 - ₹ 21,30,000"
https://autos.maxabout.com/bikes/bmw,BMW Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//B/2018/5/bmw-bikes-maxabout.jpg/,BMW,16,https://ic1.maxabout.us/autos/tw_india//N/2021/10/new-bmw-c400-gt.jpg/thumb/120,https://autos.maxabout.com/bikes/bmw/scooter,BMW Scooter,"₹ 10,40,000"
https://autos.maxabout.com/bikes/bsa,BSA Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/bsa-42.jpg/,BSA,5,https://ic1.maxabout.us/autos/tw_india/bsa-42-diva.jpg/thumb/120,https://autos.maxabout.com/bikes/bsa/diva,BSA Diva,NA
https://autos.maxabout.com/bikes/bsa,BSA Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/bsa-42.jpg/,BSA,5,https://ic1.maxabout.us/autos/tw_india/bsa-42-edge.jpg/thumb/120,https://autos.maxabout.com/bikes/bsa/edge,BSA Edge,NA
https://autos.maxabout.com/bikes/bsa,BSA Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/bsa-42.jpg/,BSA,5,https://ic1.maxabout.us/autos/tw_india/bsa-42-roamer.jpg/thumb/120,https://autos.maxabout.com/bikes/bsa/roamer,BSA Roamer,NA
https://autos.maxabout.com/bikes/bsa,BSA Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/bsa-42.jpg/,BSA,5,https://ic1.maxabout.us/autos/tw_india/bsa-42-smile.jpg/thumb/120,https://autos.maxabout.com/bikes/bsa/smile,BSA Smile,NA
https://autos.maxabout.com/bikes/bsa,BSA Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/bsa-42.jpg/,BSA,5,https://ic1.maxabout.us/autos/tw_india/bsa-42-street-rider.jpg/thumb/120,https://autos.maxabout.com/bikes/bsa/street-rider,BSA Street Rider,NA
https://autos.maxabout.com/bikes/cal-on,Cal-On Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/cal-on-55.jpg/,Cal-On,2,https://ic1.maxabout.us/autos/tw_india/cal-on-55-elan.jpg/thumb/120,https://autos.maxabout.com/bikes/cal-on/elan,Cal-On Elan,NA
https://autos.maxabout.com/bikes/cal-on,Cal-On Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/cal-on-55.jpg/,Cal-On,2,https://ic1.maxabout.us/autos/tw_india/cal-on-55-elektra-25.jpg/thumb/120,https://autos.maxabout.com/bikes/cal-on/elektra,Cal-On Elektra,NA
https://autos.maxabout.com/bikes/carberry,Carberry Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//C/2017/10/carberry-bikes-maxabout.jpg/,Carberry,1,https://ic1.maxabout.us/autos/tw_india//C/2017/10/carberry-double-barrel-1000.jpg/thumb/120,https://autos.maxabout.com/bikes/carberry/double-barrel,Carberry Double Barrel,"₹ 7,35,000"
